id,name,block,room,place
4822531172,Amber Williams,D1,203,1
9916770008,Jacob Miller,D1,203,2
3121301354,Erin Cabrera,D1,204,1
3513115818,Megan Webb,D1,204,2
6632690276,Angela Suarez PhD,D1,209,1
7502931087,Anita Johnson,D1,209,2
6824266858,Jeffrey Mckinney,D1,212,1
6649834453,Dan Walker,D1,212,2
4755285682,Mr. Daniel Mckay,D1,213,1
1305568134,Frank Mccormick,D1,213,2
869992915,Christian Ruiz,D1,214,1
2593119535,Stephanie Hall,D1,214,2
4570035815,Cheyenne Graham,D1,217,1
7320405707,Christopher Williams,D1,217,2
9341032855,Heather Lewis,D1,219,1
9081070631,Lucas Pena,D1,219,2
1324815307,Jeffrey Gregory,D1,222,1
5923336530,Gary Rivera,D1,222,2
6349102767,Aaron Valdez,D1,223,1
6465942291,Jonathan Brown,D1,223,2
2133589425,Christopher Hayden,D1,225,1
5960797154,William Houston,D1,225,2
9069767515,Christy Gutierrez,D1,226,1
7101532195,Courtney Mccullough,D1,226,2
9955250677,Alicia Roberts,D1,227,1
5877577898,Sherry Arnold,D1,227,2
4272287640,Anthony Camacho,D1,228,1
2337869723,Virginia Arnold,D1,228,2
8989191619,Tracy Smith,D1,301,1
667220879,Reginald Jones,D1,301,2
1864402243,Taylor Anderson,D1,302,1
2672481724,Dennis Knox,D1,302,2
7934439016,Kelsey Peck,D1,303,1
7657663786,John Mendez,D1,303,2
5959914654,Michelle Harris,D1,305,1
2106258409,Nicole Johnson,D1,305,2
9703343302,Kaitlyn Bryan,D1,306,1
3968139433,John Hughes,D1,306,2
6023614576,Paul Sandoval,D1,307,1
5450616911,Melissa Ho,D1,307,2
7695615945,Andrew Lee,D1,309,1
7326662866,Mrs. Kimberly Green,D1,309,2
849091490,Katherine Patrick,D1,310,1
3119022676,Deborah Freeman,D1,310,2
8906129803,Jennifer Johnson,D1,311,1
5259093826,Andrew York,D1,311,2
6183821895,Pamela Myers,D1,312,1
96050881,Suzanne Bryan,D1,312,2
3090586890,Kimberly Potter,D1,316,1
2634501602,Patrick Coleman,D1,316,2
606559465,Dr. Albert Brown,D1,317,1
550606819,Amy Green,D1,317,2
827763039,Natalie Garcia,D1,319,1
7040332880,Jennifer Jackson,D1,319,2
9219307211,Taylor Owens,D1,321,1
6569475717,William Rodgers,D1,321,2
57655148,April Thomas,D1,322,1
9944804514,Wendy Nichols,D1,323,1
7057898270,Jennifer Maxwell,D1,323,2
725109125,Jordan Nelson,D1,324,1
7139926809,Joshua Bailey,D1,324,2
4152567927,Daniel Jones,D1,325,1
771770405,Christine Graham,D1,325,2
7817029824,Dale West,D1,326,1
9320737517,Brooke Richards,D1,326,2
3743444554,Madeline Golden,D1,327,1
9062052138,Ashley Gonzales,D1,327,2
5146721335,Mary Thomas,D1,401,1
1500908838,Mark Rasmussen,D1,401,2
8047707679,Chase Pacheco,D1,402,1
5683819467,Brent Moore,D1,402,2
6177493571,Justin Moore,D1,405,1
1689349443,Jennifer Hunt,D1,405,2
1906401555,Frank Larson,D1,410,1
2468088745,Todd Joseph,D1,410,2
3908522653,Heather Campos,D1,413,1
8738559132,Patrick Holmes,D1,413,2
9916141367,Jennifer Hatfield,D1,414,1
2587673877,Wendy Stokes,D1,414,2
7861887086,Mrs. Carol Oliver,D1,417,1
781435510,Zachary Sutton,D1,417,2
5178892410,Todd Hernandez,D1,419,1
1088976808,Keith Morse,D1,419,2
9699543937,Greg Smith,D1,426,1
3074685012,Christopher Berger,D1,426,2
1300740671,Holly King,D1,427,1
3553746407,Robert Knapp,D1,427,2
7045964148,Jason Harris,D1,509,1
133539280,Terry Downs,D1,509,2
4452205983,Mr. John Williams,D1,514,1
5120196944,Shawn Cruz,D1,514,2
1580882031,Ashley Harris MD,D1,515,1
5971495845,Jacqueline Davis,D1,515,2
353978323,Laura Ross,D1,516,1
6465048453,Larry Rios,D1,516,2
5959612449,Tyler Holmes,D1,517,1
706308570,Corey Esparza,D1,517,2
7575515020,Angela Avila,D1,518,1
2319598583,Christopher Watson,D1,518,2
9932930787,Joseph Payne,D1,526,1
8341509544,Alyssa Klein,D1,526,2
7243933306,Julie Price,D1,602,1
1656142399,Christopher Smith MD,D1,604,1
2934801044,Sharon Jackson,D1,604,2
2274507060,Theodore Cole,D1,614,1
6964442836,Vincent Wall,D1,614,2
2997639742,Lisa Wiggins,D1,615,1
6401056728,Andrea Miranda,D1,615,2
9187276316,John Rivas,D1,616,1
4443805715,Jane Miller,D1,616,2
1866116792,Brett Miller,D1,619,1
4253698743,Ashley Rice,D1,619,2
2089372529,Michael Shepherd,D1,620,1
5423478067,Kimberly Frank,D1,620,2
6408124384,Miranda Schmidt,D1,621,1
5585568923,Alexandra Owens,D1,621,2
2608601430,Angela Bowman,D1,625,1
2570030013,Michelle Peters,D1,625,2
8309553700,Jonathan Diaz,D1,708,1
5740790378,Timothy Lane,D1,708,2
3776045940,Carlos Perkins,D1,710,1
7040800484,Jessica Brandt,D1,710,2
2998423926,William Rodriguez,D1,713,1
9414735217,Jennifer Mccormick,D1,713,2
9596265228,Susan Smith,D1,716,1
322258176,Derek Mccormick,D1,716,2
4813308135,Rodney Fowler,D1,719,1
6151751334,Christine Daniels,D1,719,2
4233753335,Alicia Hughes,D1,720,1
8680780855,Paul Knight,D1,720,2
6820115621,Emily Benson,D1,723,1
9419806007,Elizabeth Collins,D1,723,2
5532225095,Katie Moon,D1,726,1
2003897573,Barry Bean,D1,726,2
5359010136,Michael Gomez,D1,727,1
1030527211,Maria Wilson,D1,727,2
2864555146,Erica Nelson,D1,802,1
9406202406,Howard Ramos,D1,802,2
8555980984,Elizabeth Cummings,D1,803,1
